OPERACAO;NOME;DATA;HORA;USUARIO
FALHA: INCLUSAO_USUARIO;[SQLITE_ERROR] SQL error or missing database (table usuarios has no column named data_criacao);admin1;12/12/2025;00:09:27;SISTEMA
FALHA: INCLUSAO_USUARIO;[SQLITE_ERROR] SQL error or missing database (table usuarios has no column named data_criacao);admin1;12/12/2025;00:12:35;SISTEMA
INCLUSAO_USUARIO;admin1;12/12/2025;00:13:03;SISTEMA
INCLUSAO_USUARIO;teste1;12/12/2025;00:20:27;NOVO_USUARIO
AUTORIZACAO_USUARIO;teste1;12/12/2025;00:20:47;admin1
PROMOCAO_ADMINISTRADOR;teste1;12/12/2025;00:20:53;admin1
REMOCAO_ADMINISTRADOR;teste1;12/12/2025;00:20:59;admin1
INCLUSAO_USUARIO;teste2;12/12/2025;09:02:25;NOVO_USUARIO
AUTORIZACAO_USUARIO;teste2;12/12/2025;09:25:19;admin1
PROMOCAO_ADMINISTRADOR;teste1;12/12/2025;09:25:26;admin1
INCLUSAO_USUARIO;teste3;12/12/2025;09:25:42;NOVO_USUARIO
EXCLUSAO_USUARIO;teste3;12/12/2025;09:25:52;admin1
